主文/留言,作者,時間,標題,推/噓,內容
回覆,sylee007,2022/2/21 18:55,[問題] 基富通單筆申購扣款時間,無,原po如果這樣可以賺到錢，覺得也不錯呀~營業日就是週一到週五呀~所以基富通會在今天給你扣款
主文,NYYLG (欲戴王冠 必承其重),2022/2/20 01:10,[問題] 這樣子買會太多嗎,無,"目前打算每月定期定額投入

統一黑馬&奔騰

安聯三雄

野村優質

0050&0056

元大台灣高股息優質龍頭

共九支基金

請問這樣子會太多嗎

謝謝

"
回覆,icelaw,2022/2/20 01:10,[問題] 這樣子買會太多嗎,無,標的都差不多的東西 有差嗎標的都差不多的東西 買幾支有差嗎
回覆,candyrain821,2022/2/20 03:19,[問題] 這樣子買會太多嗎,無,不是看自己的口袋深度嗎？
回覆,eno4022,2022/2/20 03:19,不是看自己的口袋深度嗎？,無,投資沒破百萬可以不用擔心這種問題
回覆,j49222106,2022/2/20 06:44,[問題] 這樣子買會太多嗎,無,你是投入幾個億嗎？
回覆,ivan1209,2022/2/20 06:44,[問題] 這樣子買會太多嗎,無,很多都重複，砍掉一半吧……
回覆,mnb60291,2022/2/20 06:44,[問題] 這樣子買會太多嗎,無,全都一樣的
回覆,ilutc,2022/2/20 06:44,全都一樣的,無,口袋夠深的話 開心就好
回覆,pk0943,2022/2/20 09:05,[問題] 這樣子買會太多嗎,無,不用理這id
回覆,mathlover,2022/2/20 09:13,[問題] 這樣子買會太多嗎,無,感覺就是會繳學費
回覆,popolili,2022/2/20 09:13,感覺就是會繳學費,無,雞蛋全部都放在同個籃子
回覆,Vanvan,2022/2/20 11:28,[問題] 這樣子買會太多嗎,無,"元大高股息優值龍頭不配息真心覺得怪,扣了快一年，目前報酬率才3%（上2禮拜是1.x%),他的標的也真的多是優質科技股（含台G)，但平平是科技標的，相比安聯大壩績效真的差。但想想這種號稱高股息的怎麼標的物多是科技業？不應該是穩健的傳產、生活食物或中華電信之類的為主嗎？"
回覆,jimmyfk,2022/2/20 11:28,[問題] 這樣子買會太多嗎,無,"ETF不必買太多, 主動型基金倒是可以買多一點...單支基金投入不多你才抱得住, 萬一想處理時不會太頭痛.但如果管理上已造成你的困擾, 那只好刪減到你OK的支數."
回覆,ej03xu3,2022/2/20 11:28,[問題] 這樣子買會太多嗎,無,你裡面我只有定期額0056+安聯大壩
回覆,yuenru,2022/2/20 11:28,你裡面我只有定期額0056+安聯大壩,無,我只有0056，大壩，加006208不是同時扣就是了。
回覆,TEATIME6525,2022/2/21 08:05,[問題] 這樣子買會太多嗎,無,買了不同種類的蛋放在同一個籃子
回覆,manygod,2022/2/21 14:45,[問題] 這樣子買會太多嗎,無,那要怎麼分散風險 買境外基金嗎
主文,lopolin (lopo),2022/2/19 11:15,[問題] 詢問growin這款AI智能投資,無,"從某部落客網站看到這款AI智能

運作模式比較複雜

還需要開個國外證券戶和匯出美金等動作

相對其他銀行的智能投資
總覺得有點麻煩

說真的也看不出優勢在哪？

搜尋不到什麼

所以請問各位的想法
如果有單筆一筆錢要投入智能這塊
短期內不會用到

會怎麼建議？


"
回覆,hypoge,2022/2/19 11:59,[問題] 詢問growin這款AI智能投資,推,看不懂的東西就不要碰
回覆,HIGM,2022/2/19 12:13,[問題] 詢問growin這款AI智能投資,推,有問過客服，答覆說目前他們服務美國華人，台灣還沒開始，所以開戶流程比較麻煩
回覆,popolili,2022/2/19 13:56,[問題] 詢問growin這款AI智能投資,無,試試看再分享經驗呀！
回覆,eno4022,2022/2/19 13:56,試試看再分享經驗呀！,推,錢如果回不來，你準備好跨國打官司了嗎推一樓意見
主文,jaekiki (在),2022/2/16 22:48,[問題] 資金有限，這兩檔要怎麼分配？,無,"觀察了一陣子國內外基金的表現
從去年開始美股就開始一直不起色，今年又要升息變動因素太大
覺得定期定額的主力基金重心放亞洲績效會好一點
統一這幾支比較老牌的基金去年在同類型榜單上很多都拿冠亞軍
https://i.imgur.com/d90TBrM.jpg
https://i.imgur.com/haGxeXG.jpg

台股基金應該會選績效比較高的統一奔騰
成立時間夠長，過去績效值得參考

但又看到最近滿多報導提到今年美國升息，看好中國市場
所以考慮部份資金分配給大中華區類別的基金
排名裡的兩支比較屬意晨星5星的統一強漢基金

只是現在每個月定期定額的資金並不多
當然以現在的績效來看，全部都壓台股基金績效會比較高
但今年後續發展會偏向哪邊實在很難說
假設真的如報導說的中國鹹魚翻身，當然也想要儘早卡位
想請問大家少少的資金通常會怎麼分配呢？
兩個基金各半？還是奔騰7強漢3？

"
回覆,pwseki206,2022/2/16 22:48,[問題] 資金有限，這兩檔要怎麼分配？,無,第一：不要讓新聞報導主導你的投資第二，個人偏好純台股就好第三：中國市場不要碰，無論任何理由以上。
回覆,hsu30228,2022/2/16 22:48,第一：不要讓新聞報導主導你的投資第二，個人偏好純台股就好第三：中國市場不要碰，無論任何理由以上。,無,既然要當主力當然是績效高的為主，次高的為輔，比例怎麼調配就看整體目標績效是什麼
回覆,ErnestKou,2022/2/17 10:32,[問題] 資金有限，這兩檔要怎麼分配？,無,個人覺得中國買VWO已經是我個人極限了
回覆,s6212david,2022/2/17 11:45,[問題] 資金有限，這兩檔要怎麼分配？,無,遠離中概，一生平安
回覆,GOYOUR,2022/2/17 13:13,[問題] 資金有限，這兩檔要怎麼分配？,無,中國熊長牛短 不是不能玩 風險控好現在也確實底打了滿久的 但不知什麼時候會起來
回覆,jaekiki,2022/2/17 13:13,[問題] 資金有限，這兩檔要怎麼分配？,無,感謝p大，新聞有時候真的滿讓人動搖…回Hsu大，是沒錯，但還是一直無法下定論啊～才想說問問大家想法E大說的這支是有什麼特別之處嗎之前想法跟S大差不多，不過最近真的動搖了><回Go大，就是想說好像一陣子了，入場感覺有點機會
回覆,azrael99,2022/2/17 13:13,[問題] 資金有限，這兩檔要怎麼分配？,無,雖然目前看好亞洲市場但現在國際局勢這麼緊張很難不被波及是不建議全都放股票型基金，波動應該會滿大的
回覆,jaekiki,2022/2/17 13:13,雖然目前看好亞洲市場但現在國際局勢這麼緊張很難不被波及是不建議全都放股票型基金，波動應該會滿大的,無,感謝A大見解，最近看到俄烏之間要打不打的也是滿緊張，感覺就會影響很大…不過如果不建議全放股票型，放平衡型會比較好嗎？
回覆,missYmiss,2022/2/17 23:02,[問題] 資金有限，這兩檔要怎麼分配？,無,買中國股要看你心臟夠不夠大顆 我自己是也有買統一的奔騰 強漢的話感覺有潛力 目前還在研究觀察 但是有感覺到技術打底的跡象
回覆,ivyL,2022/2/18 08:08,[問題] 資金有限，這兩檔要怎麼分配？,無,奔8強2
回覆,solsoul,2022/2/18 09:57,[問題] 資金有限，這兩檔要怎麼分配？,無,國泰智能投資建議的組合裡就有這兩支，比例是直接配好了也選了另外四支分散風險會比較穩定，有平衡型也有全球債，每支幾乎不是晨星四星就是五星https://imgur.com/N0Id0eK
回覆,ErnestKou,2022/2/18 11:50,[問題] 資金有限，這兩檔要怎麼分配？,無,VWO就是指數化投資常見的新興市場ETF，我是覺得海外基金常不像台股基金那麼有暴力超額報酬。可以考慮買市值型ETF就好了，波動比基金小，報酬也不一定會比基金差
回覆,icelaw,2022/2/18 11:50,[問題] 資金有限，這兩檔要怎麼分配？,無,Emxc 屌打 Vwo
回覆,pwseki206,2022/2/18 11:50,Emxc 屌打 Vwo,無,冰哥跟在下一樣推EMXC耶，不過我是基於不想投資威脅我性命的國家的道德信念才決定放棄VWO的。不過最近在俄羅斯窮兵黷武之下我可能會改用選股更嚴格的FRDM
主文,strafrecht (是非成敗轉頭空),2022/2/16 22:40,[問題] 關於美國平衡型基金單筆投入,無,"想請教各位投資達人，
因為小弟近期有一點資金，
想要購買主要投資標的為美國的平衡型基金，
考慮到FED升息縮表在即，
有點猶豫是要最近就投入購買，
還是等三月升息後再說？

與一些對財經投資較熟悉的友人討論，
有人認為升息的影響近期已經反映大半，
現在投入沒什麼問題。
但也有認為最好等FED正式升息後，
再投入會比較好。

不知道各位版友的看法如何呢？
謝謝～

"
回覆,shoppinglin,2022/2/16 23:30,[問題] 關於美國平衡型基金單筆投入,推,如果忍不住就分批進吧
回覆,ageba,2022/2/19 11:43,[問題] 關於美國平衡型基金單筆投入,推,已反應
主文,nisi0773 (深知身在情常在),2022/2/14 21:32,[新聞] 俄烏關係緊張 投顧:戰爭與經濟利益不一致,無,"1.原文連結：https://www.wealth.com.tw/articles/e31d67ae-f606-44ae-890b-0b2ba9fa0234

2022/02/13 15:20 文 涂憶君、陳瑩欣

2.內容：
俄羅斯與烏克蘭情勢緊張，市場擔心原油、半導體原料供應受影響，俄羅斯投資收益也會
受影響。不過投顧法人認為，地緣政治問題難測，但往往是布局時點。

野村大俄羅斯基金經理人劉佳奇認為，俄烏緊張局勢遽升，但目前難以評估俄羅斯是否會
真的侵略烏克蘭，或是維持目前的軍事鎮壓態勢，由於歐洲國家能源高度仰賴俄羅斯，加
上自身經濟仍陷於疫情泥沼，並無意願與能力與俄羅斯對抗，因此一方面透過外交手段斡
旋，一方面增兵東歐提高軍事威嚇，事件進展仍須加以觀察。

百達投顧指出，俄羅斯屬於新興市場單一國家，且長期受地緣政治壓抑其股市表現，過去
5年出現過4次20%以上跌幅，隨後出現40-80%的反彈，大波段修正與上漲並不罕見。地緣
政治問題如何化解難以預測，惟就俄羅斯自身經濟發展利益而言，發動戰爭即便勝出，也將導致自身重大創傷，與其利益並不一致。此外，歐美國家
對俄羅斯制裁手段用盡，對其經濟壓抑效果有限。

與市場驚慌反應不同，百達投顧認為，本益比再創低，投資價值面已浮現：俄羅斯過去十
年間僅有在2014與2018年本益比低於5倍，目前已達到約4.5倍，投資價值實已處於相對低
檔。俄羅斯股市具有低價值、高股息、通膨連結等概念，應屬2022年具有潛力之市場，惟
短期受地緣政治議題掩蓋，若爭端暫休，市場可望有明顯回升，且俄羅斯出口具有天然氣
、能源支撐，內需股市則具有電商、金融科技等結構成長題材，股市基本面相當良好。

不過百達投顧也認為，投資人須嚴控風險比重，畢竟俄羅斯屬於高波動之新興市場單一國
家，適合能夠承擔高風險之投資者，建議不宜佔投組過高比重。

百達俄羅斯股票策略團隊認為，各國仍將努力透過持續溝通及討論，以外交方式解決問題
，俄羅斯對烏克蘭進行大規模入侵的可能性很小，並可能會就導彈部署達成協議，並限制
對烏克蘭的軍事援助。最後結果會是不會對俄羅斯做出制裁，而地緣風險也將逐漸淡化——預估許多的股票具有 100% 或更多的上漲空間，且能源類股
的股利率已來到20%，即使跟俄羅斯長期歷史數據相比，也極為便宜。

百達俄羅斯股票策略團直言，如果最壞的情況發生，「我們還是不認為歐美會做出制裁俄
羅斯能源出口、以及限制俄羅斯使用環球銀行金融電信協會*(SWIFT System)的決議」，
因為目前全球能源市場已經相當脆弱，不太可能再去承擔成本上升的可能。比較有可能的
是針對金融或科技產業定出制裁方式。

從俄羅斯基本面和市場的投資角度來看，百達俄羅斯股票策略團認為沒有看到俄羅斯企業
當前獲利基本面惡化的情況。實際上，在能源和大宗商品市場供應仍然趨緊的情況下，部
份俄羅斯的出口產業在過去幾週基本面進一步改善，獲利甚至被上調了。

法人表示，地緣政治因素是主要造成俄羅斯市場股價急劇下跌的主因。如果回歸到基本面
來看，仍有許多令人鼓舞的地方，俄羅斯經濟仍然穩定，且具有高外匯儲備、低負債比率
、財政政策和貨幣政策都相當謹慎的特色，也大幅降低油價與盧布的高度敏感關係。特別
是以股利率為基礎的評價處於創紀錄水準，目前的股利率為 12%，幾乎是 2014 年危機時
的兩倍。

"
回覆,Answerme,2022/2/15 13:43,[新聞] 俄烏關係緊張 投顧:戰爭與經濟利益不一致,推,簡單說俄羅斯吠吠討糖吃
回覆,mathlover,2022/2/15 14:57,[新聞] 俄烏關係緊張 投顧:戰爭與經濟利益不一致,推,感覺都是美國在「塞瑯」
回覆,jacky78910,2022/2/16 11:35,[新聞] 俄烏關係緊張 投顧:戰爭與經濟利益不一致,無,俄羅斯少少的撿一些
回覆,solsoul,2022/2/16 11:35,俄羅斯少少的撿一些,推,現在這種局勢真的讓人看不懂像我們這種散戶真的是很頭疼…..
回覆,icelaw,2022/2/19 02:05,[新聞] 俄烏關係緊張 投顧:戰爭與經濟利益不一致,推,怎麼會看不懂 送分題阿遠離美股 尤其是納斯達克的科技股 越遠越好這我去年底就開始一直在講了
回覆,isaacwu974,2022/2/22 19:47,[新聞] 俄烏關係緊張 投顧:戰爭與經濟利益不一致,推,考慮撿俄羅斯，今天加油發現油價又漲了，三四倍的本益比吃進來虧不到哪去，歐盟不買還有中國，中國的能源遠遠不夠自給自足呢，真打仗國際油價肯定還續漲。
主文,uyulala (Neverending),2022/2/13 19:32,[閒聊] 今年以來國內外基金表現,無,"[閒聊] 今年以來國內外基金表現

資料來源

https://www.moneydj.com/funddj/ys/YP600.djhtm
https://fund.cnyes.com/search/?forSale=1
https://www.moneydj.com/etf/eb/ET305001list.djhtm?R=100&CC=f30&order=3


國內外基金今年以來表現最佳－台幣美元計價
https://i.imgur.com/Z0SP5be.jpg


國內外基金今年以來表現最差－台幣美元計價
https://i.imgur.com/6eeYvyy.jpg


台灣ETF今年以來表現最佳
https://i.imgur.com/l6G9myA.jpg

"
回覆,shuiwuhen,2022/2/14 00:23,[閒聊] 今年以來國內外基金表現,推,推推
回覆,tudaer,2022/2/14 03:17,[閒聊] 今年以來國內外基金表現,推,感謝分享~
回覆,popolili,2022/2/14 07:51,[閒聊] 今年以來國內外基金表現,推,推
回覆,candyrain821,2022/2/14 08:58,[閒聊] 今年以來國內外基金表現,推,推
回覆,dowcher,2022/2/14 14:58,[閒聊] 今年以來國內外基金表現,推,最好笑的是高點買入還自豪要當骨灰要長期投資 笑死
回覆,FlyinDance56,2022/2/14 20:26,[閒聊] 今年以來國內外基金表現,推,請問D大，現在買什麼最好?
回覆,dowcher,2022/2/14 21:17,[閒聊] 今年以來國內外基金表現,推,此生沒見過的負油價 有什麼好不梭哈施羅德
回覆,ErnestKou,2022/2/15 08:48,[閒聊] 今年以來國內外基金表現,推,VT最好
回覆,anomaly,2022/2/15 10:14,[閒聊] 今年以來國內外基金表現,推,為什麼D大言必稱全家
回覆,cyr1216,2022/2/15 12:08,[閒聊] 今年以來國內外基金表現,推,"D大每則推文關鍵字都有 ""存骨灰、全家、恩人"""
回覆,dowcher,2022/2/15 14:47,[閒聊] 今年以來國內外基金表現,推,法巴又破底了 期待我的腰斬年度回顧反指標零股塔是我全家的恩人只要跟恩人對做 百發百中 每天都想著怎麼花錢就好
回覆,nucleolus,2022/2/15 16:53,[閒聊] 今年以來國內外基金表現,推,看D大留言，每次都很歡樂~ 哈！幸好聽話早換掉法巴
回覆,shoppinglin,2022/2/15 20:15,[閒聊] 今年以來國內外基金表現,推,全家骨灰感覺很大一坨
回覆,leeccc,2022/2/18 23:02,[閒聊] 今年以來國內外基金表現,推,d大對帳單都不敢po 你說呢
回覆,dowcher,2022/2/19 01:39,[閒聊] 今年以來國內外基金表現,推,反指標一出現就知道要大跌了 有夠準 週末了 誰有空看盤啊 看骨灰就好了
回覆,leeccc,2022/2/19 07:14,[閒聊] 今年以來國內外基金表現,推,說法? 去爬文啦 禍源甲 整天只會講這支
回覆,dowcher,2022/2/19 11:32,[閒聊] 今年以來國內外基金表現,推,眼紅凶宅存法巴骨灰的賠錢貨看法巴腰斬就崩潰潰帶塞全家的禍亂人妖
回覆,shoppinglin,2022/2/20 00:16,[閒聊] 今年以來國內外基金表現,推,如果在現實看到人罵人這麼順一定很有趣，很難想像年紀跟外型哈哈哈
回覆,martin790210,2022/2/20 22:04,[閒聊] 今年以來國內外基金表現,推,說話水準真差，這版都沒在管的喔？
回覆,shoppinglin,2022/2/21 00:42,[閒聊] 今年以來國內外基金表現,推,就看戲就好 想成一個中年大叔就有點有趣了
回覆,dowcher,2022/2/21 22:13,[閒聊] 今年以來國內外基金表現,無,我就是每到去夜店一定會被搭訕的，現實生活中的蒼蠅多到趕不走，結果虛擬世界遇到更多跟蹤狂跟變態，嘴巴說要黑單我但身體看到我id就高潮跟蹤，噁爛
回覆,leeccc,2022/2/21 22:13,我就是每到去夜店一定會被搭訕的，現實生活中的蒼蠅多到趕不走，結果虛擬世界遇到更多跟蹤狂跟變態，嘴巴說要黑單我但身體看到我id就高潮跟蹤，噁爛,推,我不想跟蹤一個甲甲
回覆,dowcher,2022/2/22 00:39,[閒聊] 今年以來國內外基金表現,無,我真的不想被中2吃骨灰自慰甲甲肥宅跟蹤
回覆,teobaldo,2022/2/22 00:39,我真的不想被中2吃骨灰自慰甲甲肥宅跟蹤,推,推
主文,wxwlm (skg),2022/2/11 11:39,[問題] 群益母子基金請益,無,"前幾天看到youtuber介紹他們家的機制，滿感興趣的，查了一些資料後有一些問題想請教
這種母子基金的機制方式，跟定期定額買基金的差別？是不是只是先把錢放在母基金讓現
金更有效率一點？但相對也會有虧損的風險？其次，把錢從母基金定期定額扣款到子基金，
到停利點後，再轉回至母基金，跟一般定期定額相比等於有做停利這個動作
感覺該機制是可以讓錢可以一直滾動，未進場的錢先放在母基金，還有停利後的錢也會回
到母基金而不是現金持有，錢一直在市場內跑，差別只是在保守的母基金還是積極的子基金中

我自己看下來的心得是：母子基金的成敗關鍵是母基金，母基金要夠穩健，不然到時兩頭
空，有參考相關投資論壇的推薦組合，母基金選擇群益的平衡王＋子基金選擇群益創新科技

我用了一下它們官網上面的試算覺得過去績效還滿好的

https://i.imgur.com/7hUfTnp.png

三年年化報酬率也有17.93%

但應該也是因為前幾年台股市場表現都滿好的，這個成果有點過度美好

不知版上是否有投資過母子基金的經驗，母子基金跟我想的應該是差不多的吧？
請問我的想法有沒有什麼盲點？

如果真的要投資，母基金選台股平衡型ok嗎？我有點擔心太積極！還是有其他建議？
另外它們官網是說母子基金的投資效益至少要3年才會出現，不知道是什麼原因？

第一次看到這種機制是覺得很新奇啦，丟個10萬讓他自己在那邊滾

感覺是可以試試？就邏輯上來看，母基金不貪心挑走勢穩穩地，子基金就挑台股基金，
這樣搭配應該是滿ok的？


"
回覆,wihuanga,2022/2/11 11:52,[問題] 群益母子基金請益,推,這種機制的報酬率跟一般單純定期定額會更高嗎?
回覆,mezz690323,2022/2/11 14:29,[問題] 群益母子基金請益,推,理論上來看，還是屬於利滾利的狀態，但賭對子基金，報酬應該會是母子基金的績效>單純定扣子基金，現金放銀行，也會被通膨吃掉，但究竟報酬如何還是得實戰證明才知道
回覆,jimmyfk,2022/2/11 15:29,[問題] 群益母子基金請益,推,"錢少時你會找偏積極平衡母基金,其實直接積極子基金就好錢多時才會找偏穩健平衡母基金, 但真要all in還是會怕."
回覆,jfy1989,2022/2/11 15:55,[問題] 群益母子基金請益,推,建議就是母基金越穩健越好，績效的部分主要還是靠子基金衝喔，台股平衡型可以嗎？還是要看你挑哪一檔拉～有的平衡型也是頗積極
回覆,leeccc,2022/2/11 16:38,[問題] 群益母子基金請益,推,母子基金成敗是在子基金 定期定額波動大的子基金才有辦法獲利更高但母子基金轉子基金單月有次數限制 所以在波動非常大時你會嫌進場子基金太少 會比定期定額子基金賺得少所以我當初原本買母子直接定期定額子基金就好
回覆,qazmomo0314,2022/2/11 19:18,[問題] 群益母子基金請益,推,"你把錢放到母基金裡，等於就是讓錢去參與市場了，所以最好還是以短期內用不到的""閒錢""就好"
回覆,sleepinggod,2022/2/12 08:58,[問題] 群益母子基金請益,推,騙你多交易而已。
回覆,G2000,2022/2/12 10:47,[問題] 群益母子基金請益,無,母子基金AUM加大 手續費更多
回覆,wxwlm,2022/2/12 10:47,母子基金AUM加大 手續費更多,推,但我目前看到的資料定期定額扣子基金的部分都是免手續費耶只有子基金停利的部分會收0.4%的手續費，停利點設高一點這筆也不會是常態費用?
回覆,sylee007,2022/2/14 11:58,[問題] 群益母子基金請益,推,比起其他家投信門檻，群益算是目前最低門檻了，可以投看看無妨https://imgur.com/dw75b8Q
回覆,star05081127,2022/2/14 19:23,[問題] 群益母子基金請益,推,"單純定期定額vs母子基金，如果該檔基金一路向上的，其實定期定額”不停利”績效會比母子基金好，差別在於""停利""，大噴射的不停利比較賺~但說實話很難做到不停利，有停利這個動作，整體的波動會比較小~但前提也是要挑對基金"
回覆,mandyen,2022/2/15 10:56,[問題] 群益母子基金請益,推,他們家的話，子基金就選台股基金，母基金不想太積極可以考慮全民退休那幾檔
回覆,sim63142000,2022/2/15 16:05,[問題] 群益母子基金請益,推,我也有看到他們廣告做滿大的，他們母基金還有推它們的退休基金～～但我個人比較積極還是想要衝台股平衡型啦
回覆,jacky78910,2022/2/16 11:31,[問題] 群益母子基金請益,推,真的要放個三年以上，邏輯就是時間長度夠長，才會有辦法經歷一波景氣循環 上上下下的微笑曲線，賺錢的機率比較大
回覆,jjtt0428,2022/2/18 22:19,[問題] 群益母子基金請益,推,母子復華比較好吧，復華的這個方法已經20年了...這種感覺有點複雜的東西經驗其實蠻重要的
回覆,wihuanga,2022/2/21 18:22,[問題] 群益母子基金請益,推,基金養基金的方式其實沒有很複雜欸，這方式行之有年，主要還是該家投信的基金有沒有喜歡的吧?
主文,nisi0773 (深知身在情常在),2022/2/9 20:29,[新聞] 上海私募基金經理高杉淪黃浦江水流屍,無,"原標題:失蹤三周 上海私募基金經理高杉淪黃浦江水流屍

1.原文連結：https://www.chinatimes.com/realtimenews/20220208004934-260409?chdtv

21:272022/02/08 中時 李文輝

2.內容：
澎湃新聞8日晚間從上海警方獲悉，2022年2月2日13時許，邊防港航分局在浦東濱江水域
打撈起一具男性屍體。經法醫勘驗，符合溺水死亡特徵，體表未見外來暴力損傷，初步排
除刑案他殺可能。經比對及死者家屬辨認，確認死者係入行近18年，公司管理資金近40億
（人民幣，約合新台幣174億元）的某私募機構實控人、基金經理高杉（40歲），生前也
無輕生徵兆，相關調查工作還在進一步開展中。

澎湃新聞引述相關媒體報導，2022年1月10日，上海某私募機構實控人、基金經理高杉在
濱江夜跑時失蹤。

報導稱，近期，上海警方稱從黃浦江裡打撈出一具屍體，已聯繫高杉家屬進行DNA對比，
另外高杉的同事表示，警方已介入調查，公司在1月中旬前後已減倉應對客戶贖回。

大陸第一財經報導，高杉的個人公眾號此前幾乎每周都會更新市場策略（親自執筆），但
今年1月1日至今再未更新。

熟悉高杉的機構、企業人士表示，他為人隨和，在投資方面經歷了多輪市場牛熊周期。去
年12月底，高杉在某論壇上談及對2022年的市場展望時稱，在2021年底的中央經濟工作會
議後，市場風險偏好一度提升。「這一兩年已被機構充分挖掘的公司超額收益是非常小的
，到2022年中後期，我傾向於認為會有更強的政策把傳統經濟穩在應有的位置上，相關板塊可能有更多預期差。」

對於2022年的成長股投資，高杉當時認為，新能源等景氣股更多是跌出來的機會。「比如
光伏（太陽能），原來這個行業見證了快速的技術進步，有一個『殺器』就讓一家公司賺
很多年的錢，但如今已變成了技術快速擴散，大家的成本曲線變得扁平，目前的股價中也
已蘊含了比較飽滿的預期，因而該行業的機會更多還是來自於大家的預期，即預期不達而
導致股價下跌後顯現的機會，畢竟光伏還是一個靠技術進步、降本增效之後，才能擴大占
有率的行業。」

相關產品資料顯示，高杉為上海環懿私募基金管理有限公司的實際控制人╱投資總監 ，
有超過16年證券從業經驗。他起步於泰信基金，快速成長於上投摩根基金。從國泰基金走
上投資道路，2009年~2011年滬深300同期暴跌30％的情況下，取得15％的絕對收益。2013
年投身私募基金，曾創建私募倍霖山投資，在海通證券、國金證券體系取得良好的代銷產
品和FOF產品業績，2016年位列多空策略類第一名。2020~2021年連續帶領團隊躋身私募基
金百強（20億~50億組）大陸全國前五。

第一財經報導，今年1月前，公司資產管理規模近40億元。根據私募排排網的資料，成立
不到1年（0.9年）的環懿周期觀復二號累計收益46.25％，最近一個月的回撤為8.2％。此
前，公司發行了針對海外客戶的美元基金（萬杉環球產業優勢基金，Cedars Global
Industry Advantage Fund），主要投資於美股、港股及其他市場，也可以北上投資滬深
港通，該基金2018年以來的收益一度近240％。

"
回覆,tudaer,2022/2/9 21:52,[新聞] 上海私募基金經理高杉淪黃浦江水流屍,推,說不定是發現什麼然後就...
回覆,GOYOUR,2022/2/10 01:11,[新聞] 上海私募基金經理高杉淪黃浦江水流屍,推,知道的太多了
回覆,gozira,2022/2/10 01:20,[新聞] 上海私募基金經理高杉淪黃浦江水流屍,推,有人說他虧了黑社會的錢
回覆,Answerme,2022/2/10 21:15,[新聞] 上海私募基金經理高杉淪黃浦江水流屍,推,鄰國最大的黑社會就是党
回覆,hsiliang,2022/2/13 17:54,[新聞] 上海私募基金經理高杉淪黃浦江水流屍,無,奇怪了，高社經地位的人會不明不白的死掉
回覆,eno4022,2022/2/13 17:54,奇怪了，高社經地位的人會不明不白的死掉,推,十億根韭菜中的一根枯死了，誰會在乎
回覆,azrael99,2022/2/17 16:41,[新聞] 上海私募基金經理高杉淪黃浦江水流屍,無,對於對案來說沒什麼不可能
回覆,solsoul,2022/2/17 16:41,[新聞] 上海私募基金經理高杉淪黃浦江水流屍,無,這新聞很中國 可以
回覆,opm,2022/2/17 16:41,這新聞很中國 可以,推,懷念下尹清楓先生?
主文,charles0939 (charles0939),2022/2/9 14:31,[問題] 前天基金只扣一次......扼腕不已！！,無,"原來開春2/7會扣二次
但我只手動放扣一次的金額
結果這三天台股大漲
扼腕阿！！

請問
過年九天
有碰到二次扣款日
上班日就會扣滿二次？！

ps.中租投顧基金平台

"
回覆,uyulala,2022/2/9 14:11,[問題] 前天基金只扣一次......扼腕不已！！,推,會啊
回覆,shoppinglin,2022/2/9 14:23,[問題] 前天基金只扣一次......扼腕不已！！,推,你該改一下扣款帳戶了..
回覆,popolili,2022/2/9 14:28,[問題] 前天基金只扣一次......扼腕不已！！,無,兄弟，投資的路還很長 還有機會的
回覆,blackorblue,2022/2/9 14:28,[問題] 前天基金只扣一次......扼腕不已！！,無,之後美國連續生息 台股就會下來了 到時候要撿都來得及 就怕不敢撿而已
回覆,charles0939,2022/2/9 14:28,之後美國連續生息 台股就會下來了 到時候要撿都來得及 就怕不敢撿而已,推,已知的利空不是利空
回覆,tudaer,2022/2/9 19:16,[問題] 前天基金只扣一次......扼腕不已！！,無,升降息其實有很多種說法，現在利率太低，升一兩碼對股市的成長性基本上在計算風險值上沒什麼太大的影響，你不會說股市平均年報酬8%結果債券是從0變成0.5就嚇到拼命拋售股票。如果是0變成3那就會超可怕的大。另外，美國股市某種程度就是修正過，每個隨便都下殺個10-30%，且還沒處理完，目前也小彈，台股也是基本面還有，但越來越吃個股表現，所以說這一年的升息會有多大影響，個人覺得還好。但如果之後一直連續緩步升息，那也得看整體經濟受不受得了。
回覆,ilutc,2022/2/9 19:16,升降息其實有很多種說法，現在利率太低，升一兩碼對股市的成長性基本上在計算風險值上沒什麼太大的影響，你不會說股市平均年報酬8%結果債券是從0變成0.5就嚇到拼命拋售股票。如果是0變成3那就會超可怕的大。另外，美國股市某種程度就是修正過，每個隨便都下殺個10-30%，且還沒處理完，目前也小彈，台股也是基本面還有，但越來越吃個股表現，所以說這一年的升息會有多大影響，個人覺得還好。但如果之後一直連續緩步升息，那也得看整體經濟受不受得了。,推,已知的利空是緩慢升息 瘋狂升息就不是已知的利空了
回覆,sleepinggod,2022/2/9 21:28,[問題] 前天基金只扣一次......扼腕不已！！,無,只有已知利多吧：FED能搞定通膨，堅定炒股在萬能的FED面前，沒有利空
回覆,damd430,2022/2/9 21:28,[問題] 前天基金只扣一次......扼腕不已！！,無,對啊
回覆,eno4022,2022/2/9 21:28,[問題] 前天基金只扣一次......扼腕不已！！,無,我還以為我走錯走到股板，呵
回覆,dowcher,2022/2/9 21:28,[問題] 前天基金只扣一次......扼腕不已！！,無,看到骨灰反指標集體自慰就知道穩跌的窮人的集體共識就是更窮永遠都不會變
回覆,blackorblue,2022/2/9 21:28,看到骨灰反指標集體自慰就知道穩跌的窮人的集體共識就是更窮永遠都不會變,推,等等wuatiyoung會來嗎
