主文/留言,作者,時間,標題,內容
留言,國立雲林科技大學,2022/2/7 14:17,基金申購問題,"1/6扣款都沒買入淨值？那這樣很奇怪，最好親自去確認
2/6號買的話應該要一兩天處理時間，可是那天是禮拜日，會順延買在2/7號
額外建議如過想買基金可以考慮用基富通，手續費比銀行便宜，也不會有每年的保管費"
留言,淡江大學,2022/2/8 11:12,基金申購問題,原po是定期定額嗎？扣款日設在每月6日？ 若1/6第一次設定定期定額在6號扣款，當天設定當天正常是不會扣到錢的說（1/6設定定期定額在每月6號扣款的話第一次扣款日應該在2/6才對）就我個人的認知是這樣唷
留言,國立高雄師範大學,2022/2/8 12:40,基金申購問題,"雖然有點小離題，還是提醒一下讓你參考！在銀行買基金會被多收信管費用，建議在三大基金平台買比較好，免信管費，手續費也比銀行優，選擇性也不輸銀行通路！
鉅亨很多人推薦，但三個都開也不錯，優惠可以互補！"
留言,世新大學,2022/2/10 04:44,基金申購問題,"應該要有淨值才對 可以問問看客服
是說你這應該是銀行的APP吧
統整在一起看真的方便很多"
留言,國立臺灣師範大學,2022/2/14 06:44,基金申購問題,"同 B3 ，認真建議可以把基金轉移到基金平台，可以購買的基金數量很多也很齊全
基富通也是集保中心在背後，主要也是官股，買基金幾乎都不用花到手續費
跟銀行買就是每年會一直跟你信託管理費"
主文,輔仁大學,2022/2/7 02:52,想問KOKO子帳戶活存1.5%規則,"本身有KOKO數位帳戶
最近看到20~25歲開子帳戶 
6/30前有五萬內1.5%活存利率
但規則好像有點複雜耶
沒理解錯的話 
不能用KOKO新增子帳戶
是要用國泰世華網銀App進去新增子帳戶嗎?
但子帳戶將依照帳號第6至11碼號碼大小最小者
這句是什麼意思QQ? 跪求解惑
剛好壓歲錢領了三萬多
想說先存起來再看要幹嘛"
留言,國立政治大學,2022/2/7 07:21,想問KOKO子帳戶活存1.5%規則,"是從國泰App進去新增沒錯喔
如果你之前都沒開過子帳戶 就不用理那句話了
第一個開的子帳戶就是1.5活存的"
留言,東南科技大學,2022/2/7 14:46,想問KOKO子帳戶活存1.5%規則,"我個人不建議用國泰這個，用Richart比較好（我沒有
國泰這個我有詢問過也有開，他這個是你不過國泰網銀還是KOKO，都適用，不過正如你所說，KOKO不能新增子帳戶，所以你要用國泰，開一個子帳戶，這個子帳戶存5,000-5萬以內就有1.5%
所以，不用koko也可以有這個1.5，至於大小問題就是，你可以開很多子帳號，但帳號的號碼數字最小的那個，才有1.5活存
白話文就是用國泰網銀，開子帳戶（要1995年6（問的時候好像是說6月）以後的孩子們，才符合活動條件，然後存5000以上，然後6/20跟12/20給利息，嗯，半年給，就這樣
國泰網站有圖片可以解釋子帳戶大小，就..照他畫起來的地方，比數字，應該不難，除非不會比大小"
留言,實踐大學,2022/2/8 02:48,想問KOKO子帳戶活存1.5%規則,"KOKO終於跟進了!!!
這樣活存也不用分戶頭了 感人
所以之前開過子帳戶的話 
就是以號碼最早開的為主對嗎?"
留言,世新大學,2022/2/8 03:15,想問KOKO子帳戶活存1.5%規則,"KOKO跟國泰網銀現在可共用APP 
你用國泰APP新增 
如果你有超過一個子帳戶的話 
就看該獨立的子帳戶帳號 
這幾個數字誰最小就存那一個子帳戶裡"
留言,靜宜大學,2022/2/9 16:01,想問KOKO子帳戶活存1.5%規則,"借原Po文問個～
請問若符合資格從今天存50000$進去子帳戶
他是每日計息1.5%所以就是每天能到750$的利息是嗎？
計算到2/28是嗎？"
主文,國立成功大學,2022/2/3 15:44,你為什麼想存到一百萬？,"最近看到很多文在說一百萬，不論是薪資一百萬還是存款一百萬，一百萬究竟有什麼魔力讓大家不斷提出來？
歡迎大家分享你存到一百萬後想幹嘛
我個人比較偏向把錢拿去買黃金或是股票、基金，存到一百萬有點太多餘，等需要用錢的時候再把東西賣掉換現金就好"
留言,Kiyo,2022/2/3 15:55,你為什麼想存到一百萬？,"存到以後發現也真的不能幹嘛…
買房不夠
又因為養成儲蓄習慣也不太會去花"
留言,東海大學,2022/2/3 16:08,你為什麼想存到一百萬？,"就純粹是一股成就感吧...
一百萬是真的不能幹嘛 後面多兩個零多好"
留言,國立虎尾科技大學,2022/2/3 16:27,你為什麼想存到一百萬？,"工作久了就存到了
但即使存到也無法不工作
哪天如果死了應該也全部捐掉"
留言,國立清華大學,2022/2/3 16:37,你為什麼想存到一百萬？,"存到100萬以後要幹嘛…
再多弄幾個100萬下去啊哈哈"
留言,國立屏東大學,2022/2/3 17:09,你為什麼想存到一百萬？,比較好周轉 儲蓄養成習慣真的不會亂花
留言,弘光科技大學,2022/2/3 17:54,你為什麼想存到一百萬？,"有第一個一百就會有第二個啊
給自己的期望和目標
難道要到7、80身上連個一百都沒有嗎"
留言,南臺科技大學,2022/2/3 19:39,你為什麼想存到一百萬？,最近腦中也在卡這個問題
留言,國立政治大學,2022/2/3 20:17,你為什麼想存到一百萬？,是個里程碑吧，後面錢滾錢會越來越快
留言,臺北醫學大學,2022/2/3 21:16,你為什麼想存到一百萬？,"台北市一百萬真的不能幹嘛
光拿來生活也頂多撐一年"
留言,jack,2022/2/3 21:17,你為什麼想存到一百萬？,"我第一個100萬是父母給的
第二個 第三個 第四個 第五個.....
到現在第十個都是父母給的 
體會不到那種成就感 
希望今年畢業後
能盡快靠自己賺一桶金 
想必那會更有意義"
留言,六大茶,2022/2/4 00:27,你為什麼想存到一百萬？,我存到一百萬後，喝杯飲料慶祝一下∼
留言,國立中正大學,2022/2/4 01:04,你為什麼想存到一百萬？,我以為存到一百是包括股票跟其他資產耶
留言,臺灣警察專科學校,2022/2/4 01:49,你為什麼想存到一百萬？,"會問存到一百萬能幹嘛的 
都感覺不太會投資⋯"
留言,國立交通大學,2022/2/4 02:04,你為什麼想存到一百萬？,"就只是有個短期的目標吧
六位數太容易 八位數太難
只能以七位數當目標啊"
留言,國立中興大學,2022/2/4 02:11,你為什麼想存到一百萬？,"現在大家在講的百萬是總資產吧
不只是現金而已
百萬比較像是里程碑
代表你之前努力的成果
就像yt 十萬訂閱 百萬訂閱 千萬訂閱有獎牌ㄧ樣
Yt 訂閱也不能換錢 就只是里程碑"
留言,易三倉大學,2022/2/4 02:15,你為什麼想存到一百萬？,"誰那麼傻，真的就是只用「存」的到一百萬啊
當然是從幾千幾萬開始股票/投資到10幾萬+存款，一路到百萬啊。 
百萬之後往2百萬邁進…..
不要傻傻的只存死錢捏
百萬只是最低階的存錢門檻吧。 之後更遠大的還有千萬
為什麼要要先有百萬呢？ 當你知道錢滾錢是最輕鬆最快速的增長資產的方式之一時，就會這樣做了。 百萬就是最低門檻，才好分配。 不然只有幾千或幾萬真的起不到什麼大作用。"
留言,玉山哥,2022/2/4 02:26,你為什麼想存到一百萬？,"存到第一桶金後
只要善於理財
很快的就有第二桶第三桶了"
留言,國立臺中科技大學,2022/2/4 04:38,你為什麼想存到一百萬？,"有感 最近也快達到100萬了
但又想到達到了也不能做什麼
因為大部分的錢都放在股市了
就是一個生涯里程碑吧"
留言,國立中正大學,2022/2/4 05:13,你為什麼想存到一百萬？,"因為100萬還有機會辦到阿
1000萬沒辦法 不然怎麼不設定這個目標？"
留言,國立臺灣大學,2022/2/4 06:07,你為什麼想存到一百萬？,一百萬就是存款六位數跨七位數的里程碑
留言,卡稱咖撐,2022/2/4 07:19,你為什麼想存到一百萬？,買33隻iphone
留言,國立中興大學,2022/2/4 07:20,你為什麼想存到一百萬？,"不是存到一百萬
是投資的總資產到一百萬
之後就越來越快往上疊加
給自己的一個肯定"
留言,東海大學,2022/2/4 07:32,你為什麼想存到一百萬？,"本金越大投資的漲幅就可以越大啊
沒先存到100萬怎麼會有500、1000萬呢"
留言,國立臺灣大學,2022/2/4 07:39,你為什麼想存到一百萬？,"再買一間公寓囤
B1-3有人搶答了q.q"
留言,銘傳大學,2022/2/4 07:43,你為什麼想存到一百萬？,"這裡的人好像都是投資達人餒
先存錢又不會怎樣
嘴人家存死錢"
留言,高雄醫學大學,2022/2/4 08:22,你為什麼想存到一百萬？,"我目前有車也買了房了
所以有時都在想存錢要幹嘛
應該直接花掉
又覺得自己該存錢…
但又不知道存了要幹嘛
無限輪迴"
留言,淡江大學,2022/2/4 08:35,你為什麼想存到一百萬？,一百萬已經不特別了，沒房沒車有千萬才稍微有感一點
留言,國立高雄科技大學,2022/2/4 08:37,你為什麼想存到一百萬？,"雖然還沒存到
但我自己是覺得對年輕人來說存到100萬算是一個生涯潤滑劑的感覺吧？
我自己打算存到100搭配理財手段去創造個可能每年10%的年化報酬當作加薪
至少職涯中斷或任何因素暫時沒賺錢都有個小錢可以撐著"
留言,中原大學,2022/2/4 09:03,你為什麼想存到一百萬？,"存到100萬不需要想幹嘛R 
投資也不需要存到100萬才能開始
有理財規劃就繼續維持
把存到100萬當作里程碑
只要不是進入墓碑都可以靈活運用 XDD"
留言,倫敦,2022/2/4 09:24,你為什麼想存到一百萬？,的確應該買股票或其他的資產才是正確的，現金放個半年份的備用金就已經很夠了
留言,國立彰化師範大學,2022/2/4 09:43,你為什麼想存到一百萬？,"可以錢滾錢
存款比較多了花錢時就比較不需要斤斤計較
所以不一定是要存到100萬，是多多益善"
留言,液態喵,2022/2/4 09:58,你為什麼想存到一百萬？,就沒什麼目標，隨便找一個，存了100w後再存100w
留言,國立成功大學,2022/2/4 10:00,你為什麼想存到一百萬？,7位數底標啊 這也要問 腦袋長菜花了？
留言,國立高雄第一科技大學,2022/2/4 10:08,你為什麼想存到一百萬？,"覺得應該是一種里程碑的概念
總不可能一下子把目標放在幾千萬那種或幾間房
一步一步實現會更有動力"
留言,國立臺北護理健康大學,2022/2/4 11:07,你為什麼想存到一百萬？,下一步：存到1000萬
留言,國立臺中科技大學,2022/2/4 11:53,你為什麼想存到一百萬？,"買黃金股票基金
我其實也會把他加入資產計算耶"
留言,國立臺灣大學,2022/2/4 12:11,你為什麼想存到一百萬？,"一百萬有什麼好討論
低卡人隨隨便便日薪或週薪就超過100萬了"
留言,慈濟大學,2022/2/4 12:32,你為什麼想存到一百萬？,"就一個階段性目標啊
接下來要越滾越多
不然100萬連頭期都付不起"
留言,明新科技大學,2022/2/4 12:33,你為什麼想存到一百萬？,"存到一百萬就可以...
呃 .. 一樣三餐還是滷肉飯"
留言,孤舟,2022/2/4 12:54,你為什麼想存到一百萬？,我以為存到100萬不是單指現金方面
留言,致理科技大學,2022/2/4 13:04,你為什麼想存到一百萬？,肝個白名單就有100萬了
留言,致理科技大學,2022/2/4 13:06,你為什麼想存到一百萬？,一個目標啊 但我是有把投資部位全部算進去
留言,國立中正大學,2022/2/4 13:16,你為什麼想存到一百萬？,"100萬代表的是未來的機會無限
100萬只要好好運用
不管是創業還是再投資都是剛好足夠的金額
不管是保守還是積極都很好用
我當時用50萬創業開了一間軟體公司
過了4年
每年為我帶來超過300萬的淨利
如果當時我沒有50萬資金創業+50萬生活費備用，我就不會有後來的機會與收入
很慶幸當時存的錢沒有跟同事一樣拿去買車"
留言,伶,2022/2/4 14:08,你為什麼想存到一百萬？,"所謂的存到應該是所有基金證券銀行帳戶加總起來吧
單純100萬放在銀行裡好浪費"
留言,葛瑞絲,2022/2/4 14:19,你為什麼想存到一百萬？,"之前不知道在哪看到的一句話....
就是可能未來某天失落心情不好的時候，坐在某個咖啡廳思考人生時，打開網銀發現還有100萬....發現人生似乎也沒那麼糟糕吧？"
留言,致理科技大學,2022/2/4 14:25,你為什麼想存到一百萬？,"100=救命週轉金
要額外存300頭期買房(存的期間丟投資)
正常薪資可能要35歲左右才存得到
(70%的人年薪都不到70萬哦)
買車就看個人決定"
留言,卡稱,2022/2/4 14:53,你為什麼想存到一百萬？,那是15年前，現在要300萬
留言,國立成功大學,2022/2/4 15:54,你為什麼想存到一百萬？,貨幣有通膨風險，不如買珠寶、黃金那種硬通貨
留言,大同大學,2022/2/4 17:17,你為什麼想存到一百萬？,雖說達成後實質上沒什麼幫助 但算是個目標吧
留言,匿名,2022/2/4 17:58,你為什麼想存到一百萬？,就是一個里程碑吧，達成後更有動力去存第二個第三個
留言,銘傳大學,2022/2/4 19:00,你為什麼想存到一百萬？,"儲蓄不是投資==
光被通膨吃掉就飽了
錢放在銀行要花時都變薄了"
留言,輔仁大學,2022/2/4 19:29,你為什麼想存到一百萬？,因為賺太少..
留言,自由生活,2022/2/5 01:01,你為什麼想存到一百萬？,算是出社會後，沒有戀愛結婚生子買房買車前的其中一項成就目標，當有了閒錢，就會想要投資理財，發現結婚很花錢，買車有點花錢，但前面如果不要虛榮心作祟，都可以省下來花，但養小孩又是一項慢慢消耗這個成就，如果這時候再買房又是一個負擔，如果另一半有給壓力，就會想要學更多的賺錢技能提高自己的本薪，才是最最實在的。
留言,東海大學,2022/2/5 01:25,你為什麼想存到一百萬？,因為台灣薪資低，在美國你就會看到在討論存到一千萬
留言,國立臺灣大學,2022/2/5 01:48,你為什麼想存到一百萬？,因為存不到一千萬
留言,國立臺灣大學,2022/2/5 03:21,你為什麼想存到一百萬？,解成就啊！都靠爸媽幫我存有什麼意思
留言,國立高雄大學,2022/2/5 03:24,你為什麼想存到一百萬？,"25歲存了4百萬
看著那些喜歡投資掛嘴邊的人資產不到50萬，笑都笑死"
留言,advan,2022/2/5 09:16,你為什麼想存到一百萬？,我只想存到5億而已
留言,C.C,2022/2/5 11:11,你為什麼想存到一百萬？,"就是一個成就感，而且100萬是最難的，達到後反而滾到200,300,400是相當容易。"
留言,匿名,2022/2/5 12:47,你為什麼想存到一百萬？,存100不夠可以存好幾個100萬
留言,beauty,2022/2/5 14:38,你為什麼想存到一百萬？,我也是存到100萬後就不知道干嘛了
留言,明新科技大學,2022/2/5 16:06,你為什麼想存到一百萬？,"最近也一直在想這個問題
投資ETF 美股 等等投資
好像就只知道薪水發了要買
然後呢 就不知道了"
留言,亞洲大學,2022/2/5 17:31,你為什麼想存到一百萬？,"我也存到一百萬後不知道要幹嘛
買車直接沒了 買房買不起
大家都說有錢要投資 買基金股票
但投資都有風險啊
要嘛套牢要嘛賠錢
並不是100%穩賺
投資要賺錢除非是大戶機構或是真得非常懂
（至少身邊20-65歲的例子都是最終結果都賠錢 舅舅跟鄰居都曾經玩股票賺到一千萬 最後又都賠回去 還倒賠幾百萬）

所以最終還是把一百萬乖乖存銀行每個月領500塊利息，還是現金在身邊最踏實最有安全感"
留言,中國科技大學,2022/2/6 05:24,你為什麼想存到一百萬？,養小孩
留言,國立臺中科技大學,2022/2/6 07:20,你為什麼想存到一百萬？,可是沒有100萬的人更不能幹嘛
留言,聖約翰科技大學,2022/2/6 09:39,你為什麼想存到一百萬？,100萬雖然不能幹嘛，但如果緊急需要一筆錢，先未雨綢繆我覺得對自己比較負責
留言,匿名,2022/2/6 10:45,你為什麼想存到一百萬？,當初存到第一桶金目標是買房，第二桶金的目標是結婚
留言,國立臺中科技大學,2022/2/6 11:02,你為什麼想存到一百萬？,因為1000萬太遙遠...
留言,南臺科技大學,2022/2/6 13:38,你為什麼想存到一百萬？,沒幹嘛 算是一個里程碑而已
留言,國立屏東科技大學,2022/2/6 14:47,你為什麼想存到一百萬？,我只想退休 100萬能幹嘛
留言,Ben.G,2022/2/7 08:12,你為什麼想存到一百萬？,"因為我想存到五千萬
而且發現我如何避免
在存到5000萬的路上我都還是會先存到100萬"
主文,Sunnia,2022/2/1 09:36,我挑的月配型基金還蠻抗震的ㄟ,最近這半個月美股摔得慘兮兮，按理說每月領息一族面對突然的修正，只需蓋牌即可，但我在好奇心的趨使下，還是掀開原來不敢面對的現實，淨值停留在1月27日，當天那指收盤在13352.78的位置，含息報酬率為-3.44％，其實我只領2次配息而已，看到這樣的負報酬不禁笑了，這種月配商品很適合保守型投資人打造月月領的被動式收入，如果有興趣，我再進一步說明。
留言,國立臺灣大學,2022/2/1 12:01,我挑的月配型基金還蠻抗震的ㄟ,可以分享標的嗎～～
留言,Lucis,2022/2/1 12:10,我挑的月配型基金還蠻抗震的ㄟ,業味濃
留言,國立宜蘭大學,2022/2/1 12:12,我挑的月配型基金還蠻抗震的ㄟ,"妳這樣就對了，投信愛死你
不過別亂害其他人好嗎"
留言,國立臺灣科技大學,2022/2/1 13:39,我挑的月配型基金還蠻抗震的ㄟ,直接買SPY就好了
留言,歲月靜好,2022/2/1 14:37,我挑的月配型基金還蠻抗震的ㄟ,"升息循環初段 遠離債券FYI 雖然現在看到算晚了 哈
有看到有賺到 避免血流成河
一堆用有配息騙自己已經本金虧損的"
留言,國立中央大學,2022/2/1 16:47,我挑的月配型基金還蠻抗震的ㄟ,大盤(道瓊工業平均指數)也沒跌多少何來抗震？
留言,國立屏東大學,2022/2/1 17:03,我挑的月配型基金還蠻抗震的ㄟ,"拿科技佔比不到10%的平衡型基金比那指？
再來不了解摩根美增的持股瞎猜大幅修正是因為經理人操盤有問題？
只能說整篇文一點參考價值都沒有"
留言,國立臺灣大學,2022/2/1 18:07,我挑的月配型基金還蠻抗震的ㄟ,我只推 VT+BNDW or VTI+VXUS+BNDW or VTI+VEU+VWO+BNDW
留言,東海大學,2022/2/2 02:43,我挑的月配型基金還蠻抗震的ㄟ,去年定期定額買摩根士丹利美國成長基金 今年一度-30再跟我開玩笑
留言,淡江大學,2022/2/2 04:18,我挑的月配型基金還蠻抗震的ㄟ,黑白講 lol 居然還想猜金融危機 看來是沒搞懂黑天鵝就進市場 危險啊
留言,國立中山大學,2022/2/2 09:00,我挑的月配型基金還蠻抗震的ㄟ,僅代表投信感謝你的付出
留言,國立屏東大學,2022/2/2 09:56,我挑的月配型基金還蠻抗震的ㄟ,"B7-6 我想我也不需要跟你辯了 昨天彈11%今天彈3% 完全反應成長股走勢
第一 淨值反應沒問題 操盤手沒事砸自己家招牌幹嘛？
第二 是你先在內文用那指跟平衡型基金比的 我從頭到尾都在跟你講平行比較的重要性 現在變成我亂比較了？嘻嘻
第三 我根本就沒拿QQQ美增來跟這種配息型基金比⋯"
留言,原Po,2022/2/2 10:39,我挑的月配型基金還蠻抗震的ㄟ,我只是單純分享自己投資的心得，如果不認同配息型商品，請不要浪費時間參與轉移焦點並做非理性謾罵，謝謝。
留言,南臺科技大學,2022/2/3 02:33,我挑的月配型基金還蠻抗震的ㄟ,B0 有聯絡方式嗎想跟妳聊一下基金
留言,鮭魚,2022/2/3 04:01,我挑的月配型基金還蠻抗震的ㄟ,你好棒ㄟ
留言,國立臺灣大學,2022/2/3 17:41,我挑的月配型基金還蠻抗震的ㄟ,真的震還沒來妳放心
主文,QQNENE,2022/1/30 04:54,美金和0050同時買,"大家好，我目前沒有任何的投資，現在好不容易存了50萬想要都買0050，但被銀行員建議雞蛋不要放在同一個籃子裡，建議我先買1萬4千元美金，每個月再從我的薪水裡面定期定額買0050，大概每個月1萬這樣。
想問廣大的網友們，如果是你們會這樣做嗎？
下面是美金的預算，看螢光筆箭頭那排就可以了（不妥刪）"
留言,國立中興大學,2022/1/30 05:51,美金和0050同時買,"那個中國人壽的保單算是儲蓄險吧~
一次放1.4萬美我是覺得佔存款比例太多了"
留言,修平科技大學,2022/1/30 06:34,美金和0050同時買,理專推的通常都是他抽佣多的項目，不一定適合您，請三思。
留言,修平科技大學,2022/1/30 06:36,美金和0050同時買,0050也不太算同一個籃子，基本上他的成分股有50家公司，且會汰弱留強，基本上已經做到風險的充分分散。
留言,國立勤益科技大學,2022/1/30 06:42,美金和0050同時買,"一次放1.4萬美真的算多了 然後要看看妳現在月薪多少、收支狀況跟需求去分配 美元保單現在是入手的好時機沒錯！但是我覺得還是要完整的評估妳的財務狀況再來分配資產
銀行理專都是把一樣的商品推給不同的人，但不見得每個人都適合這麼做～我覺得妳可以多看看、評估，更何況跟銀行買保單，後續要找誰處理也是一個問題，建議對一個值得信任、專業的業務員比較好！"
留言,匿名,2022/1/30 06:53,美金和0050同時買,不要買這種東西，你會後悔，真要分散風險不如一半投台股一半投美股
留言,國立東華大學,2022/1/30 07:39,美金和0050同時買,"你可以自己買美金啊
不想都放股票的話可以空手或是黃金之類的"
留言,國立陽明大學,2022/1/30 08:16,美金和0050同時買,"美金儲蓄險只是銀行員要業績而已
0050的部分，才是雞蛋不要放在同個籃子裡 ，所以可以定期定額0050，把風險分散到50家公司"
留言,銘傳大學,2022/1/30 08:22,美金和0050同時買,我覺得這個保單可以買，因為算短年期的，6年期以上那種我就不建議，只不過14000有點多，可以抓少一點，不建議把所有錢放股票啦就算分散美股台股不同家公司，整個市場不好的時候妳真的要用到錢也只能認賠，那保單基本上這張只要放滿兩年就行，比放美元定存好多了，可以配置三分之一在保單啦，所有錢丟股票也是要心臟夠大顆。
留言,銘傳大學,2022/1/30 08:38,美金和0050同時買,我買的是另外一個年付2000美金的保單
留言,東吳大學,2022/1/30 08:56,美金和0050同時買,這麼想送理專年終獎金嗎
留言,逢甲大學,2022/1/30 08:56,美金和0050同時買,傻逼才買儲蓄險 我就是那個傻逼 現在後悔了
留言,臺灣警察專科學校,2022/1/30 09:18,美金和0050同時買,我覺得你可以留十萬其他 全部換美金不要買什麼保單 看好升息後美金會走強 到時候可以賺匯差也可以丟美股 然後不要丟0050 去開海外券商買s&p500的etf 0050光台積電的比重就太大了 沒達到分散風險的目的
留言,暖心投資家-Tony,2022/1/30 09:19,美金和0050同時買,"如果有這麼多美金⋯
不如買VOO吧一樣是大盤指數"
留言,柯柯,2022/1/30 10:05,美金和0050同時買,美金保險先不要...
留言,國立高雄應用科技大學,2022/1/30 10:23,美金和0050同時買,"你這金額大約是我信貸的月付額
人家貸款投資
你是幫銀行找資金"
留言,國立政治大學,2022/1/30 10:39,美金和0050同時買,"強烈建議不要買儲蓄險
定期定額0050才是正解！"
留言,中國醫藥大學,2022/1/30 10:45,美金和0050同時買,"有空多翻翻雜誌
台灣有很多個股獲利比美股還好
老話一句 投資有賺有賠
自己多下苦心做功課 錢才不會白白消失"
留言,南臺科技大學,2022/1/30 11:13,美金和0050同時買,以這張躉繳來說算不錯欸
留言,義守大學,2022/1/30 11:17,美金和0050同時買,"你就跟他説
我只想All in 0050
我沒有很想要買美金
美金升息的確可能有益處
但是這樣不如自己拿一部分的錢買美股
自己投自己安心"
留言,Yenyen,2022/1/30 11:42,美金和0050同時買,這張不用放很長我覺得可以
留言,東海大學,2022/1/30 11:57,美金和0050同時買,"投資跟保險請分開
保險歸保險
投資歸投資
雖然我認可美金低點可以多買
但買了之後是投資美股還是直接放定存
或是放儲蓄險則看妳的需求
不要買了儲蓄險然後是為了投資
事後覺得投報率不好就好了"
留言,原Po,2022/1/30 12:07,美金和0050同時買,"這張美金保單的好處是每年利息3%+第二年想毀約也沒差+賺匯率，再送個壽險。
抓1萬4是因為第二年會多給你80元美金
但我在想同樣50萬放在0050二十年後的效益是不是會更好？
因為20年後美金樂觀估算有35的話，賣掉也才多個37萬好像也沒多好⋯"
留言,世新大學,2022/1/30 12:23,美金和0050同時買,"很可以呀
我的100萬-也是美金保單30萬+金融股50萬+20萬基金"
留言,東海大學,2022/1/30 12:30,美金和0050同時買,"B23 又一個不看保單說明的了
3%是一定給嗎
我跟妳保證這個3%只有短期有3%
後面可能1%或不到
這個3%是假設不變欸
才有可能賺這麼多
保險能這麼好賺
那為何大家不都買保險就好
這是一個很簡單的問題
再來如果問放哪個報酬率高
不用看 一定是0050
因為這是類大盤
除非妳覺得台灣沒救了
不然0050的報酬率一定遠遠高過儲蓄險
再次強調 保險注重保障
不要再拿保障為重的東西來問報酬率高不高
因為報酬率肯定不高"
留言,中國文化大學,2022/1/30 12:50,美金和0050同時買,買勞力士（沒 不要理我
留言,國立臺中科技大學,2022/1/30 13:32,美金和0050同時買,"你不覺得很誇張嗎
14000×27.5=385000
好不容易存了50萬 
直接叫你拿38萬買美金 
他有沒有在替你著想@@
先不論這個投資好不好 
我覺得小額還可以 38萬真的太多了耶"
留言,耕莘健康管理專科學校,2022/1/30 13:33,美金和0050同時買,56
留言,國立清華大學,2022/1/30 14:17,美金和0050同時買,要分散風險還不如買債卷
留言,東海大學,2022/1/30 14:38,美金和0050同時買,"有人要被框囉
美金就美金買基金或保單等商品幹嘛"
留言,逢甲金城武,2022/1/30 14:39,美金和0050同時買,我建議你，可以買美金，然後放著就好，至少到今年年底再決定要不要賣出？因為匯率差賺的至少有8成以上勝台幣定存利率。真的手癢，今天佛心來的，跟我一起收貨，三個月內抱不住超過10%就出貨，抱得住至少20%以上再出貨。新年快樂
留言,宜蘭扛壩子,2022/1/30 15:01,美金和0050同時買,銀行員的話都信 代表你沒有好好研究你適合什麼
留言,朝陽科技大學,2022/1/30 15:37,美金和0050同時買,沒有預定利率歐
留言,朝陽科技大學,2022/1/30 15:39,美金和0050同時買,這應該是20年期吧
留言,國立雲林科技大學,2022/1/30 15:51,美金和0050同時買,"認真的回一下
保險歸保險
投資歸投資
美金保單明顯就是想框妳這小白而已
給妳參考14000美金 投入美國大盤ETF VTI 20年績效
20年 1萬4美金最後變9萬2美金 供妳參考一下
以上過去20年績效不等於未來20年績效 但9成9絕對比保單好"
留言,如果可以,2022/1/30 16:35,美金和0050同時買,理專感謝妳的錢錢
留言,國立臺灣大學,2022/1/30 18:41,美金和0050同時買,千萬別碰投資型保單
留言,國立政治大學,2022/1/30 19:08,美金和0050同時買,不專業建議，美金可以買，其他要看你對投資的想法是啥 保單在你現在這年紀就是儲蓄用途而已，如果妳是想投資的不妨可以去找找好的美股ETF標的定期定額，但今年不可能跟去年一樣好賺，還要衡量自己對投資的風險承受到哪跟這筆錢到底會不會急用才是重點
留言,國立中正大學,2022/1/30 20:47,美金和0050同時買,因為自己看好美金，所以目前有部分投資美元的穩定幣，然後用流動性挖礦跟stacking 的方式賺相對高的利率，至少流動性跟APY比儲蓄險好很多，推薦給妳。
留言,Niuniu,2022/1/30 23:01,美金和0050同時買,"這時間點買儲蓄險不如投台股
現在儲蓄險利率少的可憐"
留言,國立臺北科技大學,2022/1/31 01:55,美金和0050同時買,買0050、美金現貨是可以，但傻了才買美金儲蓄險，要知道理專推薦的是他自己抽傭高的。
留言,gn5061,2022/1/31 02:43,美金和0050同時買,"真他不要去買保單
想投美金用豐存股 開要買vi,vti,voo,spy啥的隨便你"
留言,Take a leap,2022/1/31 03:58,美金和0050同時買,直
留言,國立臺中科技大學,2022/1/31 04:12,美金和0050同時買,"他要你把雞蛋放進他的籃子
三思"
留言,長庚大學,2022/1/31 09:40,美金和0050同時買,1.4萬 美金 all in VT
留言,南亞技術學院,2022/1/31 13:05,美金和0050同時買,"我自己去年1月初保美元保單 期限6年 年繳1700美元 我每個月買5000台幣轉換美元
如果有更便宜價錢 我就會再撿便宜
沒想到我去年就後悔了
因為玩股票賺了一點小錢
後來想說打算6年繳完就放著給他升利息 不領出來 等想到的時候在領出來"
留言,文藻外語大學,2022/1/31 15:18,美金和0050同時買,"建議銀行員的話少聽，通常都只是想賺錢
自己做功課吧 也比較安心"
留言,Bb,2022/2/1 02:51,美金和0050同時買,"單筆放0050_有每日10%漲跌幅考量
單筆放美金保單_匯率風險、時間長短問題
請先評估自己能承擔的問題
再來取決要怎麼配置"
留言,國立成功大學,2022/2/1 08:39,美金和0050同時買,"我必須說 理專都蠻廢的
只是為了賺別人錢而已"
留言,致理科技大學,2022/2/1 10:43,美金和0050同時買,"其實躉繳保單 理專佣金不多
有閒錢就買沒關係
但金額你可以選擇最低繳額"
留言,德明財經科技大學,2022/2/1 17:26,美金和0050同時買,理專推薦的不一定適合你 你還是自己做一點功課會比較安全
留言,國立高雄餐旅大學,2022/2/2 10:29,美金和0050同時買,"保險這麼多為什麼要買儲蓄險？
買儲蓄險的錢省下來不如投資0050 0056
買保險是一旦出事 生病了
不用為錢煩惱 這才是買保險的意義
不要覺得年輕不會生病
就不用買醫療險or長照險
人會發生什麼事很難說
棺材不裝老人 裝死人"
留言,實踐大學,2022/2/3 06:05,美金和0050同時買,我會放在S&P500
